day,tp,primeTank,bleachTank,trt,new.trt.C,new.trt.N,nubid,genet,cells,chl,chlpcell,prot,protpcell,dhd,dhw
10,2,2,0,C,C,C,C21,C,3780459,5.73,1.52,0.34,0.09,0.49,0.07
10,2,2,0,C,C,C,D07,D,2790183,5.22,1.87,0.34,0.12,0.49,0.07
10,2,2,0,C,C,C,E20,E,2989244,4.73,1.58,0.25,0.08,0.49,0.07
10,2,2,0,C,C,C,F24,F,1892550,3.37,1.78,0.63,0.33,0.49,0.07
10,2,2,0,C,C,C,G31,G,3084819,4.74,1.54,0.37,0.12,0.49,0.07
10,2,2,0,C,C,C,H25,H,3399854,5.67,1.67,0.38,0.11,0.49,0.07
10,2,2,0,C,C,C,I28,I,3242060,4.78,1.47,0.33,0.1,0.49,0.07
10,2,2,0,C,C,C,J09,J,2908198,5.48,1.88,0.22,0.08,0.49,0.07
10,2,3,0,LL,LL,LL,C08,C,2917144,4.35,1.49,0.23,0.08,2.31,0.33
10,2,3,0,LL,LL,LL,D23,D,2725837,5,1.84,0.21,0.08,2.31,0.33
10,2,3,0,LL,LL,LL,E08,E,3112674,3.71,1.19,0.17,0.05,2.31,0.33
10,2,3,0,LL,LL,LL,F04,F,2876937,4.13,1.44,0.32,0.11,2.31,0.33
10,2,3,0,LL,LL,LL,G01,G,2746038,4.36,1.59,0.36,0.13,2.31,0.33
10,2,3,0,LL,LL,LL,H13,H,2814501,5.12,1.82,0.29,0.1,2.31,0.33
10,2,3,0,LL,LL,LL,I10,I,2477388,4.54,1.83,0.32,0.13,2.31,0.33
10,2,3,0,LL,LL,LL,J31,J,2829975,4.82,1.7,0.22,0.08,2.31,0.33
10,2,4,0,LH,LH,LH,C10,C,4555470,6.25,1.37,0.26,0.06,5.11,0.73
10,2,4,0,LH,LH,LH,D21,D,2846592,5.18,1.82,0.23,0.08,5.11,0.73
10,2,4,0,LH,LH,LH,E30,E,3704323,7.63,2.06,0.25,0.07,5.11,0.73
10,2,4,0,LH,LH,LH,F09,F,3077297,6.05,1.97,0.44,0.14,5.11,0.73
10,2,4,0,LH,LH,LH,G27,G,3460548,4.3,1.24,0.36,0.1,5.11,0.73
10,2,4,0,LH,LH,LH,H27,H,2790958,4.13,1.48,0.31,0.11,5.11,0.73
10,2,4,0,LH,LH,LH,I06,I,2927592,3.13,1.07,0.29,0.1,5.11,0.73
10,2,4,0,LH,LH,LH,J29,J,2619671,3.92,1.5,0.34,0.13,5.11,0.73
10,2,5,0,HL,HL,HL,C30,C,4298013,6.3,1.47,0.26,0.06,4.45,0.64
10,2,5,0,HL,HL,HL,D1W,D,2706909,5.33,1.97,0.21,0.08,4.45,0.64
10,2,5,0,HL,HL,HL,E29,E,3248350,6.17,1.9,0.24,0.07,4.45,0.64
10,2,5,0,HL,HL,HL,F32,F,2447103,5.62,2.3,0.22,0.09,4.45,0.64
10,2,5,0,HL,HL,HL,G25,G,1715952,2.75,1.6,0.38,0.22,4.45,0.64
10,2,5,0,HL,HL,HL,H26,H,3214584,7,2.18,0.18,0.06,4.45,0.64
10,2,5,0,HL,HL,HL,I29,I,1775338,4.46,2.51,0.44,0.25,4.45,0.64
10,2,5,0,HL,HL,HL,J13,J,527041,0.91,1.72,0.25,0.47,4.45,0.64
10,2,6,0,HH,HH,HH,C34,C,3924978,5.96,1.52,0.39,0.1,9.26,1.32
10,2,6,0,HH,HH,HH,D13,D,2166127,2.57,1.19,0.34,0.16,9.26,1.32
10,2,6,0,HH,HH,HH,E25,E,3177276,6.09,1.92,0.34,0.11,9.26,1.32
10,2,6,0,HH,HH,HH,F10,F,0,0,0,0,0,9.26,1.32
10,2,6,0,HH,HH,HH,G33,G,0,0,0,0,0,9.26,1.32
10,2,6,0,HH,HH,HH,H31,H,0,0,0,0,0,9.26,1.32
10,2,6,0,HH,HH,HH,I15,I,1737845,3.89,2.24,0.33,0.19,9.26,1.32
10,2,6,0,HH,HH,HH,J10,J,0,0,0,0,0,9.26,1.32
11,3,4,1,LH,LH,LH,C09,C,3269379,4.34,1.33,0.21,0.07,6.79,0.97
11,3,3,5,LL,LL,LL,C13,C,3277279,4.33,1.32,0.25,0.08,4.07,0.58
11,3,6,6,HH,HH,HH,C28,C,4181735,6.15,1.47,0.27,0.06,10.95,1.56
11,3,5,2,HL,HL,HL,C33,C,3438524,5.09,1.48,0.33,0.1,6.31,0.9
11,3,2,4,C,C,C,C36,C,5042931,5.58,1.11,0.23,0.05,0.49,0.07
11,3,1,3,N,N,N,C4W,C,3908828,4.4,1.13,0.19,0.05,2.23,0.32
11,3,1,6,N,N,N,D04,D,1077297,2.48,2.3,0.21,0.2,2.18,0.31
11,3,3,1,LL,LL,LL,D08,D,2520208,4.12,1.63,0.31,0.12,3.99,0.57
11,3,6,5,HH,HH,HH,D09,D,2438641,5.23,2.14,0.27,0.11,11.02,1.57
11,3,2,4,C,C,C,D12,D,2811737,3.46,1.23,0.36,0.13,0.49,0.07
11,3,4,2,LH,LH,LH,D18,D,1436533,2.83,1.97,0.24,0.17,6.98,1
11,3,5,3,HL,HL,HL,D27,D,2781115,3.97,1.43,0.23,0.08,6.19,0.88
11,3,2,4,C,C,C,E10,E,3437749,5.49,1.6,0.28,0.08,0.49,0.07
11,3,4,1,LH,LH,LH,E13O,E,2351430,3.35,1.42,0.45,0.19,6.79,0.97
11,3,1,6,N,N,N,E28,E,1078827,2.02,1.87,0.18,0.17,2.18,0.31
11,3,5,3,HL,HL,HL,E33,E,2739603,4.77,1.74,0.24,0.09,6.19,0.88
11,3,3,2,LL,LL,LL,E35,E,2334749,4.19,1.8,0.38,0.16,4.18,0.6
11,3,6,5,HH,HH,HH,E3W,E,2288438,3.77,1.65,0.27,0.12,11.02,1.57
11,3,3,1,LL,LL,LL,F11,F,2660432,3.64,1.37,0.4,0.15,3.99,0.57
11,3,4,3,LH,LH,LH,F19,F,3568921,5.94,1.67,0.43,0.12,6.85,0.98
11,3,1,4,C,C,C,F22,F,3444431,5.71,1.66,0.43,0.12,0.49,0.07
11,3,2,6,N,N,N,F23,F,1657089,3.86,2.33,0.52,0.31,2.18,0.31
11,3,5,2,HL,HL,HL,F26,F,2162194,4.13,1.91,0.24,0.11,6.31,0.9
11,3,6,5,HH,HH,HH,FX,F,0,0,0,0,0,11.02,1.57
11,3,5,6,HL,HL,HL,G02,G,1585255,3.17,2,0.18,0.11,6.13,0.88
11,3,2,3,N,N,N,G09,G,2492298,4.2,1.69,0.19,0.08,2.23,0.32
11,3,4,2,LH,LH,LH,G14,G,2299789,4.27,1.86,0.37,0.16,6.98,1
11,3,1,4,C,C,C,G28,G,2738613,5.12,1.87,0.39,0.14,0.49,0.07
11,3,3,1,LL,LL,LL,G29,G,2586772,4.5,1.74,0.26,0.1,3.99,0.57
11,3,6,5,HH,HH,HH,GX,G,0,0,0,0,0,11.02,1.57
11,3,3,2,LL,LL,LL,H10,H,671142,1.38,2.05,0.18,0.27,4.18,0.6
11,3,2,4,C,C,C,H11,H,3315757,5.15,1.55,0.24,0.07,0.49,0.07
11,3,1,3,N,N,N,H17,H,1781862,3.59,2.01,0.28,0.16,2.23,0.32
11,3,4,5,LH,LH,LH,H30,H,670058,1.32,1.96,0.28,0.42,6.87,0.98
11,3,5,1,HL,HL,HL,H33,H,2558188,4.65,1.82,0.29,0.11,6.13,0.88
11,3,6,6,HH,HH,HH,H34,H,776138,2.16,2.78,0.24,0.31,10.95,1.56
11,3,2,4,C,C,C,I09,I,3081483,5,1.62,0.45,0.15,0.49,0.07
